timestamp_s,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
0.055632,28.000000,267.000000,-1123.000000,-100.000000,144.000000,-882.000000,8.000000,152.000000,-1011.000000
0.155092,29.000000,267.000000,-1022.000000,-101.000000,145.000000,-881.000000,9.000000,152.000000,-1012.000000
0.255289,29.000000,266.000000,-1014.000000,-103.000000,141.000000,-875.000000,12.000000,155.000000,-1123.000000
0.355277,28.000000,269.000000,-1006.000000,-107.000000,136.000000,-869.000000,19.000000,156.000000,-1133.000000
0.455313,21.000000,270.000000,-886.000000,-109.000000,26.000000,-749.000000,130.000000,266.000000,-1280.000000
0.555716,17.000000,268.000000,-867.000000,-107.000000,14.000000,-632.000000,159.000000,279.000000,-1645.000000
0.656254,13.000000,261.000000,-755.000000,-108.000000,12.000000,-620.000000,278.000000,400.000000,-1902.000000
0.755991,11.000000,261.000000,-749.000000,-103.000000,12.000000,-610.000000,388.000000,519.000000,-2039.000000
0.856412,11.000000,257.000000,-740.000000,-104.000000,9.000000,-511.000000,512.000000,535.000000,-2283.000000
0.955978,11.000000,159.000000,-739.000000,-103.000000,9.000000,-505.000000,529.000000,665.000000,-2431.000000
1.057032,10.000000,158.000000,-637.000000,-98.000000,9.000000,-502.000000,536.000000,776.000000,-2538.000000
1.156821,10.000000,156.000000,-636.000000,-101.000000,8.000000,-498.000000,538.000000,771.000000,-2544.000000
1.256273,8.000000,156.000000,-634.000000,-102.000000,7.000000,-496.000000,645.000000,778.000000,-2658.000000
1.356325,9.000000,155.000000,-637.000000,-99.000000,4.000000,-494.000000,651.000000,777.000000,-2665.000000
1.457444,9.000000,259.000000,-743.000000,-99.000000,11.000000,-504.000000,514.000000,781.000000,-2414.000000
1.556768,21.000000,274.000000,-879.000000,-105.000000,128.000000,-737.000000,135.000000,397.000000,-1406.000000
1.657065,29.000000,271.000000,-996.000000,-102.000000,146.000000,-866.000000,16.000000,264.000000,-1127.000000
1.757687,30.000000,270.000000,-1015.000000,-101.000000,147.000000,-873.000000,11.000000,258.000000,-1018.000000
1.857202,128.000000,269.000000,-1020.000000,-102.000000,147.000000,-879.000000,10.000000,156.000000,-1010.000000
1.957028,31.000000,268.000000,-1021.000000,-102.000000,145.000000,-882.000000,10.000000,152.000000,-1010.000000
2.057337,31.000000,271.000000,-1021.000000,-102.000000,147.000000,-882.000000,9.000000,153.000000,-1008.000000
2.157749,30.000000,270.000000,-1023.000000,-101.000000,144.000000,-878.000000,8.000000,155.000000,-1008.000000
2.258001,30.000000,269.000000,-1023.000000,-102.000000,146.000000,-880.000000,9.000000,154.000000,-1010.000000
2.357333,30.000000,267.000000,-1022.000000,-103.000000,147.000000,-880.000000,8.000000,154.000000,-1010.000000
2.457780,31.000000,268.000000,-1023.000000,-101.000000,143.000000,-879.000000,9.000000,152.000000,-1010.000000
2.558031,128.000000,267.000000,-1022.000000,-102.000000,145.000000,-880.000000,9.000000,152.000000,-1010.000000
2.658475,129.000000,268.000000,-1022.000000,-101.000000,146.000000,-880.000000,8.000000,153.000000,-1010.000000
2.758615,31.000000,267.000000,-1023.000000,-102.000000,146.000000,-880.000000,8.000000,150.000000,-1010.000000
2.858560,128.000000,268.000000,-1022.000000,-103.000000,143.000000,-880.000000,9.000000,153.000000,-1010.000000
2.959347,31.000000,266.000000,-1022.000000,-102.000000,146.000000,-881.000000,7.000000,155.000000,-1009.000000
