timestamp_s,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
0.062009,29.000000,266.000000,-1019.000000,-101.000000,148.000000,-885.000000,7.000000,152.000000,-1005.000000
0.163017,128.000000,265.000000,-1021.000000,-101.000000,148.000000,-883.000000,7.000000,152.000000,-1004.000000
0.263069,128.000000,265.000000,-1022.000000,-101.000000,145.000000,-880.000000,8.000000,152.000000,-1005.000000
0.362573,128.000000,266.000000,-1021.000000,-100.000000,147.000000,-881.000000,5.000000,153.000000,-1007.000000
0.462405,29.000000,260.000000,-995.000000,-99.000000,156.000000,-885.000000,7.000000,257.000000,-1015.000000
0.563163,28.000000,270.000000,-882.000000,1.000000,261.000000,-878.000000,13.000000,280.000000,-1012.000000
0.663157,29.000000,393.000000,-761.000000,5.000000,279.000000,-759.000000,20.000000,408.000000,-895.000000
0.763926,129.000000,405.000000,-624.000000,16.000000,393.000000,-623.000000,23.000000,522.000000,-739.000000
0.863646,128.000000,397.000000,-505.000000,18.000000,401.000000,-615.000000,28.000000,519.000000,-623.000000
0.964170,31.000000,401.000000,-497.000000,17.000000,399.000000,-609.000000,30.000000,523.000000,-617.000000
1.063552,129.000000,397.000000,-482.000000,15.000000,401.000000,-504.000000,130.000000,515.000000,-503.000000
1.164173,128.000000,398.000000,-373.000000,20.000000,400.000000,-494.000000,130.000000,414.000000,-489.000000
1.264037,29.000000,394.000000,-371.000000,22.000000,403.000000,-495.000000,132.000000,512.000000,-484.000000
1.363316,28.000000,391.000000,-368.000000,22.000000,403.000000,-494.000000,133.000000,413.000000,-384.000000
1.464233,31.000000,397.000000,-368.000000,21.000000,405.000000,-493.000000,131.000000,411.000000,-383.000000
1.564090,29.000000,395.000000,-363.000000,23.000000,406.000000,-489.000000,130.000000,408.000000,-379.000000
1.664175,30.000000,395.000000,-366.000000,24.000000,403.000000,-495.000000,133.000000,412.000000,-382.000000
1.764487,29.000000,393.000000,-366.000000,23.000000,407.000000,-493.000000,133.000000,409.000000,-380.000000
1.864308,26.000000,394.000000,-363.000000,22.000000,408.000000,-494.000000,130.000000,411.000000,-378.000000
1.964748,27.000000,390.000000,-360.000000,26.000000,410.000000,-493.000000,133.000000,409.000000,-376.000000
2.064268,26.000000,388.000000,-358.000000,23.000000,409.000000,-489.000000,132.000000,406.000000,-374.000000
2.164808,29.000000,389.000000,-357.000000,24.000000,409.000000,-488.000000,130.000000,406.000000,-370.000000
2.264984,27.000000,385.000000,-354.000000,25.000000,409.000000,-486.000000,132.000000,404.000000,-367.000000
2.365318,27.000000,384.000000,-355.000000,24.000000,410.000000,-485.000000,131.000000,406.000000,-367.000000
2.465718,27.000000,385.000000,-256.000000,24.000000,406.000000,-484.000000,133.000000,403.000000,-365.000000
2.565884,28.000000,389.000000,-353.000000,23.000000,404.000000,-486.000000,131.000000,401.000000,-367.000000
2.666307,30.000000,397.000000,-383.000000,22.000000,408.000000,-509.000000,130.000000,512.000000,-496.000000
2.765435,28.000000,395.000000,-758.000000,3.000000,280.000000,-766.000000,18.000000,396.000000,-874.000000
2.865663,31.000000,281.000000,-1000.000000,-98.000000,258.000000,-877.000000,12.000000,265.000000,-994.000000
2.965369,31.000000,277.000000,-1007.000000,-100.000000,156.000000,-878.000000,10.000000,258.000000,-997.000000
