timestamp_s,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
0.023329,25.000000,270.000000,-1021.000000,-102.000000,144.000000,-883.000000,13.000000,158.000000,-1003.000000
0.123156,25.000000,267.000000,-1021.000000,-100.000000,142.000000,-883.000000,10.000000,156.000000,-1001.000000
0.223562,24.000000,269.000000,-1021.000000,-101.000000,144.000000,-883.000000,12.000000,156.000000,-1002.000000
0.323571,21.000000,271.000000,-1021.000000,-97.000000,141.000000,-885.000000,14.000000,258.000000,-1002.000000
0.423445,2.000000,285.000000,-1021.000000,2.000000,30.000000,-894.000000,27.000000,273.000000,-893.000000
0.524051,-122.000000,399.000000,-1014.000000,11.000000,20.000000,-894.000000,138.000000,388.000000,-871.000000
0.623347,-232.000000,414.000000,-999.000000,13.000000,17.000000,-890.000000,147.000000,400.000000,-766.000000
0.724764,-236.000000,517.000000,-893.000000,11.000000,9.000000,-888.000000,154.000000,403.000000,-760.000000
0.824505,-238.000000,518.000000,-887.000000,13.000000,9.000000,-887.000000,158.000000,408.000000,-760.000000
0.923883,-243.000000,520.000000,-880.000000,10.000000,2.000000,-885.000000,256.000000,410.000000,-754.000000
1.023942,-245.000000,523.000000,-875.000000,9.000000,-97.000000,-887.000000,260.000000,411.000000,-750.000000
1.123804,-247.000000,522.000000,-872.000000,10.000000,-102.000000,-889.000000,264.000000,409.000000,-751.000000
1.223667,-247.000000,521.000000,-873.000000,8.000000,-100.000000,-888.000000,260.000000,411.000000,-752.000000
1.325313,-246.000000,520.000000,-876.000000,11.000000,-100.000000,-888.000000,260.000000,408.000000,-753.000000
1.423910,-240.000000,517.000000,-888.000000,9.000000,2.000000,-889.000000,157.000000,402.000000,-761.000000
1.524024,-108.000000,399.000000,-1148.000000,1.000000,17.000000,-886.000000,29.000000,262.000000,-875.000000
1.624391,15.000000,280.000000,-1122.000000,-98.000000,136.000000,-882.000000,18.000000,259.000000,-995.000000
1.724391,22.000000,273.000000,-1021.000000,-101.000000,142.000000,-881.000000,14.000000,256.000000,-999.000000
1.825229,24.000000,271.000000,-1020.000000,-97.000000,144.000000,-882.000000,14.000000,158.000000,-1000.000000
1.925360,28.000000,268.000000,-1020.000000,-101.000000,140.000000,-880.000000,14.000000,157.000000,-1002.000000
2.025349,29.000000,272.000000,-1020.000000,-99.000000,144.000000,-882.000000,10.000000,157.000000,-1002.000000
2.125316,27.000000,271.000000,-1020.000000,-100.000000,145.000000,-881.000000,12.000000,158.000000,-1001.000000
2.224689,27.000000,271.000000,-1019.000000,-99.000000,146.000000,-882.000000,9.000000,154.000000,-1001.000000
2.325319,26.000000,271.000000,-1019.000000,-99.000000,144.000000,-880.000000,10.000000,156.000000,-1001.000000
2.425681,28.000000,269.000000,-1020.000000,-99.000000,144.000000,-882.000000,11.000000,159.000000,-1003.000000
2.526424,27.000000,268.000000,-1019.000000,-101.000000,146.000000,-882.000000,10.000000,158.000000,-1004.000000
2.625178,26.000000,270.000000,-1020.000000,-100.000000,146.000000,-880.000000,11.000000,156.000000,-1003.000000
2.725184,27.000000,268.000000,-1019.000000,-99.000000,144.000000,-880.000000,9.000000,256.000000,-1002.000000
2.825436,27.000000,271.000000,-1020.000000,-101.000000,145.000000,-883.000000,12.000000,158.000000,-1002.000000
2.925320,26.000000,270.000000,-1019.000000,-100.000000,144.000000,-880.000000,13.000000,256.000000,-1003.000000
