timestamp_s,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
0.057429,128.000000,262.000000,-1126.000000,0.000000,146.000000,-882.000000,2.000000,154.000000,-1006.000000
0.158523,128.000000,260.000000,-1126.000000,2.000000,148.000000,-882.000000,0.000000,157.000000,-1005.000000
0.258451,28.000000,159.000000,-1136.000000,-97.000000,145.000000,-884.000000,0.000000,153.000000,-1007.000000
0.358351,26.000000,142.000000,-1138.000000,8.000000,134.000000,-766.000000,-103.000000,257.000000,-1128.000000
0.457929,25.000000,130.000000,-1139.000000,14.000000,134.000000,-754.000000,-114.000000,265.000000,-1144.000000
0.558431,20.000000,-105.000000,-1251.000000,22.000000,27.000000,-638.000000,-237.000000,279.000000,-1273.000000
0.658857,11.000000,-363.000000,-1150.000000,134.000000,22.000000,-626.000000,-378.000000,285.000000,-1380.000000
0.759102,7.000000,-499.000000,-1131.000000,138.000000,20.000000,-610.000000,-498.000000,279.000000,-1260.000000
0.859443,9.000000,-507.000000,-1127.000000,139.000000,19.000000,-510.000000,-504.000000,280.000000,-1255.000000
0.958441,9.000000,-610.000000,-1022.000000,141.000000,18.000000,-503.000000,-510.000000,279.000000,-1150.000000
1.059082,7.000000,-616.000000,-1020.000000,142.000000,17.000000,-503.000000,-511.000000,281.000000,-1148.000000
1.158648,7.000000,-619.000000,-1015.000000,141.000000,16.000000,-500.000000,-609.000000,280.000000,-1146.000000
1.259015,2.000000,-620.000000,-1013.000000,141.000000,16.000000,-500.000000,-614.000000,282.000000,-1144.000000
1.358926,6.000000,-621.000000,-1012.000000,142.000000,16.000000,-499.000000,-609.000000,279.000000,-1142.000000
1.459238,7.000000,-621.000000,-1006.000000,142.000000,16.000000,-496.000000,-611.000000,282.000000,-1136.000000
1.559791,6.000000,-621.000000,-1008.000000,142.000000,13.000000,-500.000000,-611.000000,281.000000,-1140.000000
1.660173,5.000000,-623.000000,-1018.000000,144.000000,15.000000,-504.000000,-611.000000,275.000000,-1151.000000
1.760229,14.000000,-123.000000,-1263.000000,28.000000,25.000000,-638.000000,-243.000000,278.000000,-1255.000000
1.860313,28.000000,152.000000,-1129.000000,3.000000,146.000000,-876.000000,-99.000000,155.000000,-1004.000000
1.960727,26.000000,157.000000,-1125.000000,2.000000,143.000000,-878.000000,3.000000,156.000000,-1004.000000
2.060236,30.000000,256.000000,-1123.000000,1.000000,143.000000,-878.000000,3.000000,154.000000,-1005.000000
2.159892,31.000000,260.000000,-1122.000000,-98.000000,148.000000,-878.000000,6.000000,156.000000,-1005.000000
2.260319,31.000000,259.000000,-1122.000000,0.000000,144.000000,-878.000000,2.000000,154.000000,-1003.000000
2.360581,29.000000,258.000000,-1121.000000,-98.000000,144.000000,-878.000000,3.000000,152.000000,-1003.000000
2.460569,29.000000,262.000000,-1121.000000,-99.000000,147.000000,-878.000000,5.000000,152.000000,-1004.000000
2.561078,31.000000,260.000000,-1121.000000,-99.000000,144.000000,-878.000000,6.000000,152.000000,-1004.000000
2.660614,28.000000,263.000000,-1121.000000,-99.000000,145.000000,-878.000000,5.000000,153.000000,-1005.000000
2.761257,31.000000,261.000000,-1024.000000,-98.000000,144.000000,-879.000000,6.000000,154.000000,-1005.000000
2.861585,128.000000,261.000000,-1121.000000,-97.000000,145.000000,-878.000000,5.000000,151.000000,-1005.000000
2.961204,31.000000,262.000000,-1024.000000,-99.000000,148.000000,-880.000000,4.000000,152.000000,-1005.000000
