timestamp_s,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
0.074476,31.000000,267.000000,-1016.000000,-98.000000,147.000000,-872.000000,6.000000,152.000000,-999.000000
0.174418,128.000000,272.000000,-1010.000000,-101.000000,144.000000,-868.000000,9.000000,151.000000,-894.000000
0.274430,130.000000,272.000000,-1018.000000,-99.000000,141.000000,-757.000000,11.000000,150.000000,-881.000000
0.374531,131.000000,277.000000,-1020.000000,-102.000000,138.000000,-754.000000,12.000000,138.000000,-759.000000
0.475619,31.000000,384.000000,-1122.000000,-98.000000,133.000000,-638.000000,11.000000,135.000000,-738.000000
0.574845,27.000000,273.000000,-1008.000000,-103.000000,25.000000,-628.000000,13.000000,128.000000,-755.000000
0.675013,24.000000,265.000000,-999.000000,-102.000000,18.000000,-623.000000,17.000000,128.000000,-753.000000
0.776000,23.000000,266.000000,-1008.000000,-101.000000,15.000000,-618.000000,14.000000,29.000000,-747.000000
0.875505,19.000000,267.000000,-994.000000,-102.000000,14.000000,-614.000000,17.000000,27.000000,-739.000000
0.975579,20.000000,261.000000,-883.000000,-103.000000,11.000000,-610.000000,19.000000,28.000000,-748.000000
1.075349,25.000000,258.000000,-875.000000,-106.000000,14.000000,-512.000000,17.000000,22.000000,-638.000000
1.175636,19.000000,256.000000,-766.000000,-102.000000,14.000000,-510.000000,20.000000,26.000000,-637.000000
1.275810,21.000000,257.000000,-767.000000,-103.000000,16.000000,-508.000000,16.000000,25.000000,-632.000000
1.376179,19.000000,159.000000,-755.000000,-102.000000,15.000000,-508.000000,21.000000,28.000000,-634.000000
1.476030,20.000000,259.000000,-765.000000,-101.000000,17.000000,-508.000000,18.000000,128.000000,-638.000000
1.575833,18.000000,258.000000,-881.000000,-98.000000,23.000000,-614.000000,14.000000,134.000000,-636.000000
1.675996,28.000000,274.000000,-896.000000,-101.000000,135.000000,-640.000000,14.000000,147.000000,-867.000000
1.776660,129.000000,273.000000,-1007.000000,-101.000000,148.000000,-764.000000,10.000000,156.000000,-895.000000
1.876895,129.000000,275.000000,-1023.000000,-99.000000,148.000000,-871.000000,5.000000,155.000000,-996.000000
1.976665,31.000000,266.000000,-1020.000000,-102.000000,144.000000,-875.000000,9.000000,151.000000,-1001.000000
2.077315,31.000000,268.000000,-1020.000000,-102.000000,144.000000,-876.000000,11.000000,148.000000,-1001.000000
2.177187,31.000000,266.000000,-1019.000000,-98.000000,146.000000,-876.000000,6.000000,148.000000,-1001.000000
2.277212,30.000000,267.000000,-1021.000000,-102.000000,144.000000,-879.000000,9.000000,150.000000,-1003.000000
2.376701,128.000000,266.000000,-1020.000000,-104.000000,143.000000,-878.000000,9.000000,148.000000,-1004.000000
2.477711,128.000000,265.000000,-1021.000000,-103.000000,146.000000,-878.000000,6.000000,151.000000,-1002.000000
2.576996,128.000000,265.000000,-1020.000000,-103.000000,147.000000,-878.000000,9.000000,149.000000,-1002.000000
2.677182,31.000000,266.000000,-1021.000000,-104.000000,144.000000,-878.000000,9.000000,150.000000,-1003.000000
2.777490,30.000000,267.000000,-1021.000000,-101.000000,146.000000,-877.000000,10.000000,151.000000,-1002.000000
2.878338,129.000000,265.000000,-1020.000000,-100.000000,141.000000,-878.000000,9.000000,150.000000,-1002.000000
2.977958,129.000000,268.000000,-1021.000000,-102.000000,144.000000,-878.000000,6.000000,151.000000,-1002.000000
