timestamp_s,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
0.032367,129.000000,269.000000,-1122.000000,-102.000000,148.000000,-885.000000,7.000000,149.000000,-1000.000000
0.133118,130.000000,268.000000,-1128.000000,-101.000000,150.000000,-889.000000,8.000000,147.000000,-998.000000
0.232761,133.000000,269.000000,-1141.000000,-99.000000,153.000000,-895.000000,2.000000,146.000000,-888.000000
0.332915,144.000000,261.000000,-1275.000000,0.000000,262.000000,-1015.000000,-99.000000,129.000000,-756.000000
0.432758,153.000000,144.000000,-1400.000000,5.000000,279.000000,-1147.000000,-100.000000,22.000000,-618.000000
0.533585,259.000000,129.000000,-1513.000000,9.000000,404.000000,-1385.000000,0.000000,16.000000,-493.000000
0.633084,268.000000,24.000000,-1637.000000,19.000000,520.000000,-1402.000000,-101.000000,10.000000,-380.000000
0.733245,263.000000,24.000000,-1638.000000,31.000000,540.000000,-1508.000000,0.000000,14.000000,-365.000000
0.833151,266.000000,29.000000,-1533.000000,29.000000,651.000000,-1536.000000,0.000000,11.000000,-358.000000
0.933630,263.000000,29.000000,-1535.000000,135.000000,662.000000,-1534.000000,1.000000,7.000000,-353.000000
1.033953,265.000000,131.000000,-1536.000000,130.000000,671.000000,-1641.000000,1.000000,12.000000,-254.000000
1.133884,267.000000,137.000000,-1535.000000,30.000000,777.000000,-1652.000000,1.000000,9.000000,-251.000000
1.233453,269.000000,136.000000,-1535.000000,30.000000,785.000000,-1658.000000,6.000000,8.000000,-248.000000
1.334604,270.000000,135.000000,-1532.000000,29.000000,785.000000,-1658.000000,5.000000,8.000000,-246.000000
1.434205,268.000000,133.000000,-1529.000000,129.000000,783.000000,-1648.000000,5.000000,10.000000,-244.000000
1.534737,263.000000,135.000000,-1527.000000,144.000000,793.000000,-1651.000000,5.000000,8.000000,-242.000000
1.634139,269.000000,133.000000,-1520.000000,134.000000,904.000000,-1766.000000,5.000000,7.000000,-242.000000
1.734432,268.000000,134.000000,-1520.000000,134.000000,903.000000,-1772.000000,6.000000,8.000000,-245.000000
1.834791,268.000000,147.000000,-1534.000000,128.000000,912.000000,-1787.000000,5.000000,9.000000,-247.000000
1.934316,266.000000,385.000000,-1644.000000,3.000000,775.000000,-1782.000000,2.000000,14.000000,-374.000000
2.035233,141.000000,277.000000,-1271.000000,-99.000000,280.000000,-1144.000000,0.000000,132.000000,-741.000000
2.134511,133.000000,267.000000,-1132.000000,-102.000000,156.000000,-1000.000000,4.000000,142.000000,-881.000000
2.234563,131.000000,267.000000,-1123.000000,-99.000000,147.000000,-882.000000,6.000000,147.000000,-994.000000
2.335544,131.000000,266.000000,-1123.000000,-102.000000,150.000000,-884.000000,6.000000,145.000000,-993.000000
2.434965,129.000000,266.000000,-1122.000000,-102.000000,149.000000,-884.000000,7.000000,146.000000,-994.000000
2.535229,130.000000,269.000000,-1024.000000,-101.000000,149.000000,-885.000000,7.000000,148.000000,-996.000000
2.635460,132.000000,266.000000,-1121.000000,-102.000000,148.000000,-884.000000,6.000000,151.000000,-996.000000
2.735593,130.000000,266.000000,-1024.000000,-101.000000,148.000000,-884.000000,7.000000,148.000000,-996.000000
2.835865,31.000000,264.000000,-1122.000000,-102.000000,150.000000,-885.000000,4.000000,149.000000,-996.000000
2.935554,129.000000,266.000000,-1024.000000,-102.000000,146.000000,-883.000000,8.000000,146.000000,-997.000000
