timestamp_s,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
0.000001,8.000000,265.000000,-1121.000000,-100.000000,146.000000,-880.000000,5.000000,151.000000,-1005.000000
0.098596,128.000000,265.000000,-1024.000000,-101.000000,144.000000,-883.000000,7.000000,149.000000,-1006.000000
0.198456,28.000000,260.000000,-1012.000000,-100.000000,147.000000,-888.000000,12.000000,155.000000,-1010.000000
0.299002,22.000000,158.000000,-892.000000,-100.000000,146.000000,-1007.000000,15.000000,258.000000,-1010.000000
0.399061,9.000000,136.000000,-633.000000,-97.000000,159.000000,-1265.000000,22.000000,283.000000,-1124.000000
0.498496,5.000000,28.000000,-511.000000,15.000000,258.000000,-1408.000000,24.000000,403.000000,-1142.000000
0.598483,3.000000,22.000000,-492.000000,27.000000,262.000000,-1633.000000,31.000000,520.000000,-1147.000000
0.698994,1.000000,20.000000,-383.000000,30.000000,278.000000,-1658.000000,28.000000,531.000000,-1146.000000
0.799654,4.000000,19.000000,-375.000000,30.000000,386.000000,-1662.000000,27.000000,538.000000,-1250.000000
0.899476,7.000000,16.000000,-370.000000,129.000000,395.000000,-1768.000000,25.000000,641.000000,-1259.000000
0.999239,6.000000,12.000000,-365.000000,133.000000,394.000000,-1781.000000,26.000000,641.000000,-1266.000000
1.099923,8.000000,13.000000,-360.000000,132.000000,400.000000,-1901.000000,29.000000,543.000000,-1254.000000
1.199734,6.000000,11.000000,-361.000000,134.000000,395.000000,-1911.000000,29.000000,540.000000,-1259.000000
1.299377,4.000000,9.000000,-360.000000,136.000000,389.000000,-1911.000000,27.000000,541.000000,-1265.000000
1.400191,5.000000,10.000000,-359.000000,136.000000,391.000000,-1911.000000,25.000000,536.000000,-1260.000000
1.500880,5.000000,11.000000,-370.000000,132.000000,287.000000,-1905.000000,20.000000,530.000000,-1264.000000
1.600467,8.000000,20.000000,-610.000000,9.000000,151.000000,-1512.000000,16.000000,282.000000,-1260.000000
1.700312,16.000000,133.000000,-755.000000,-98.000000,149.000000,-1130.000000,7.000000,262.000000,-1249.000000
1.800914,25.000000,143.000000,-875.000000,-98.000000,154.000000,-1002.000000,4.000000,158.000000,-1139.000000
1.900351,27.000000,150.000000,-896.000000,-102.000000,149.000000,-892.000000,7.000000,158.000000,-1121.000000
2.001094,30.000000,256.000000,-1014.000000,-99.000000,145.000000,-887.000000,4.000000,152.000000,-1013.000000
2.100183,29.000000,263.000000,-1014.000000,-100.000000,146.000000,-886.000000,8.000000,154.000000,-1003.000000
2.200684,29.000000,263.000000,-1016.000000,-100.000000,148.000000,-885.000000,7.000000,153.000000,-1006.000000
2.301002,30.000000,263.000000,-1017.000000,-101.000000,145.000000,-885.000000,7.000000,151.000000,-1003.000000
2.401023,30.000000,264.000000,-1016.000000,-100.000000,146.000000,-885.000000,6.000000,157.000000,-1004.000000
2.501246,29.000000,265.000000,-1017.000000,-100.000000,146.000000,-886.000000,6.000000,152.000000,-1004.000000
2.601517,31.000000,265.000000,-1018.000000,-103.000000,148.000000,-886.000000,7.000000,150.000000,-1001.000000
2.701175,29.000000,265.000000,-1020.000000,-101.000000,148.000000,-888.000000,8.000000,152.000000,-1005.000000
2.801558,31.000000,264.000000,-1019.000000,-102.000000,147.000000,-884.000000,8.000000,150.000000,-1004.000000
2.901495,29.000000,265.000000,-1020.000000,-101.000000,146.000000,-886.000000,7.000000,151.000000,-1003.000000
