timestamp_s,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
0.036103,31.000000,267.000000,-1015.000000,-99.000000,152.000000,-879.000000,7.000000,154.000000,-1003.000000
0.136477,130.000000,268.000000,-1016.000000,-103.000000,149.000000,-880.000000,7.000000,153.000000,-1002.000000
0.237162,31.000000,270.000000,-1015.000000,-103.000000,148.000000,-879.000000,8.000000,157.000000,-1003.000000
0.336862,128.000000,268.000000,-1015.000000,-100.000000,154.000000,-880.000000,6.000000,156.000000,-1004.000000
0.436747,128.000000,270.000000,-1009.000000,-99.000000,156.000000,-877.000000,7.000000,157.000000,-1004.000000
0.537080,30.000000,266.000000,-1017.000000,-102.000000,144.000000,-884.000000,10.000000,149.000000,-1002.000000
0.637008,21.000000,141.000000,-1268.000000,-101.000000,12.000000,-883.000000,9.000000,26.000000,-1006.000000
0.737987,14.000000,-97.000000,-1397.000000,-106.000000,-123.000000,-869.000000,21.000000,-109.000000,-1003.000000
0.837698,11.000000,-243.000000,-1408.000000,-105.000000,-244.000000,-751.000000,26.000000,-243.000000,-995.000000
0.936970,17.000000,-498.000000,-1408.000000,-102.000000,-358.000000,-624.000000,31.000000,-366.000000,-868.000000
1.037628,20.000000,-640.000000,-1386.000000,-101.000000,-372.000000,-609.000000,132.000000,-372.000000,-740.000000
1.138229,16.000000,-748.000000,-1260.000000,0.000000,-380.000000,-507.000000,128.000000,-372.000000,-630.000000
1.237664,15.000000,-768.000000,-1149.000000,4.000000,-378.000000,-495.000000,131.000000,-376.000000,-626.000000
1.337529,16.000000,-881.000000,-1005.000000,10.000000,-376.000000,-481.000000,131.000000,-381.000000,-618.000000
1.438070,20.000000,-879.000000,-866.000000,13.000000,-375.000000,-378.000000,30.000000,-378.000000,-510.000000
1.538011,20.000000,-878.000000,-767.000000,14.000000,-375.000000,-375.000000,30.000000,-381.000000,-509.000000
1.638205,21.000000,-879.000000,-756.000000,16.000000,-374.000000,-374.000000,30.000000,-383.000000,-508.000000
1.738142,21.000000,-871.000000,-749.000000,15.000000,-376.000000,-372.000000,27.000000,-380.000000,-504.000000
1.838000,23.000000,-869.000000,-738.000000,18.000000,-376.000000,-371.000000,28.000000,-379.000000,-502.000000
1.938978,19.000000,-869.000000,-637.000000,16.000000,-372.000000,-370.000000,29.000000,-380.000000,-500.000000
2.039185,22.000000,-866.000000,-637.000000,21.000000,-373.000000,-370.000000,28.000000,-380.000000,-502.000000
2.138518,20.000000,-865.000000,-747.000000,14.000000,-377.000000,-376.000000,27.000000,-379.000000,-510.000000
2.239312,22.000000,-745.000000,-1018.000000,10.000000,-481.000000,-615.000000,25.000000,-364.000000,-627.000000
2.339212,24.000000,30.000000,-1269.000000,-108.000000,0.000000,-1003.000000,13.000000,9.000000,-891.000000
2.438877,27.000000,258.000000,-1133.000000,-100.000000,133.000000,-885.000000,10.000000,139.000000,-1002.000000
2.539610,30.000000,158.000000,-1128.000000,-102.000000,133.000000,-884.000000,7.000000,141.000000,-1005.000000
2.639041,28.000000,256.000000,-1127.000000,-100.000000,138.000000,-885.000000,8.000000,141.000000,-1005.000000
2.740245,29.000000,256.000000,-1126.000000,-101.000000,138.000000,-884.000000,9.000000,144.000000,-1005.000000
2.839515,31.000000,258.000000,-1126.000000,-103.000000,137.000000,-883.000000,5.000000,143.000000,-1006.000000
2.939261,130.000000,259.000000,-1124.000000,-99.000000,143.000000,-884.000000,8.000000,144.000000,-1006.000000
