timestamp_s,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
0.046262,31.000000,265.000000,-1021.000000,-101.000000,146.000000,-880.000000,5.000000,152.000000,-1004.000000
0.145612,31.000000,265.000000,-1023.000000,-103.000000,145.000000,-880.000000,6.000000,153.000000,-1003.000000
0.246190,30.000000,268.000000,-1022.000000,-102.000000,146.000000,-883.000000,8.000000,150.000000,-1001.000000
0.346126,30.000000,267.000000,-1021.000000,-103.000000,145.000000,-884.000000,10.000000,150.000000,-1000.000000
0.445775,128.000000,268.000000,-1020.000000,-104.000000,146.000000,-884.000000,10.000000,148.000000,-1001.000000
0.545659,128.000000,272.000000,-1019.000000,-104.000000,143.000000,-883.000000,9.000000,148.000000,-1000.000000
0.646493,31.000000,274.000000,-1016.000000,-110.000000,145.000000,-887.000000,16.000000,148.000000,-1004.000000
0.747074,128.000000,287.000000,-1004.000000,-118.000000,138.000000,-887.000000,26.000000,137.000000,-1007.000000
0.845994,29.000000,409.000000,-895.000000,-230.000000,135.000000,-894.000000,139.000000,135.000000,-1000.000000
0.947093,27.000000,513.000000,-888.000000,-241.000000,129.000000,-994.000000,147.000000,132.000000,-999.000000
1.047058,28.000000,518.000000,-881.000000,-252.000000,26.000000,-1000.000000,155.000000,26.000000,-894.000000
1.146974,26.000000,525.000000,-878.000000,-252.000000,26.000000,-999.000000,155.000000,26.000000,-892.000000
1.247841,29.000000,526.000000,-874.000000,-355.000000,22.000000,-1004.000000,155.000000,24.000000,-887.000000
1.346873,26.000000,527.000000,-870.000000,-360.000000,21.000000,-1007.000000,159.000000,23.000000,-883.000000
1.447482,26.000000,531.000000,-873.000000,-360.000000,23.000000,-1007.000000,157.000000,22.000000,-881.000000
1.547417,26.000000,531.000000,-871.000000,-360.000000,26.000000,-1006.000000,157.000000,23.000000,-880.000000
1.647086,27.000000,530.000000,-870.000000,-364.000000,21.000000,-1004.000000,256.000000,21.000000,-885.000000
1.747736,28.000000,535.000000,-875.000000,-358.000000,24.000000,-1005.000000,157.000000,24.000000,-882.000000
1.847689,128.000000,518.000000,-896.000000,-235.000000,137.000000,-995.000000,139.000000,133.000000,-889.000000
1.948194,129.000000,274.000000,-1018.000000,-109.000000,142.000000,-884.000000,16.000000,141.000000,-1002.000000
2.048576,128.000000,271.000000,-1020.000000,-105.000000,142.000000,-881.000000,11.000000,149.000000,-1007.000000
2.147565,128.000000,271.000000,-1020.000000,-105.000000,146.000000,-880.000000,12.000000,146.000000,-1006.000000
2.247937,128.000000,270.000000,-1019.000000,-102.000000,144.000000,-881.000000,8.000000,151.000000,-1004.000000
2.347850,128.000000,269.000000,-1021.000000,-102.000000,141.000000,-881.000000,12.000000,152.000000,-1006.000000
2.447891,31.000000,268.000000,-1020.000000,-102.000000,142.000000,-881.000000,8.000000,150.000000,-1003.000000
2.548663,31.000000,267.000000,-1020.000000,-105.000000,145.000000,-881.000000,10.000000,152.000000,-1004.000000
2.648558,30.000000,268.000000,-1021.000000,-104.000000,144.000000,-881.000000,9.000000,152.000000,-1004.000000
2.748917,128.000000,267.000000,-1021.000000,-104.000000,144.000000,-880.000000,10.000000,149.000000,-1006.000000
2.848712,30.000000,268.000000,-1020.000000,-101.000000,146.000000,-880.000000,10.000000,149.000000,-1005.000000
2.948983,31.000000,266.000000,-1020.000000,-102.000000,147.000000,-881.000000,9.000000,152.000000,-1003.000000
