timestamp_s,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
0.000001,31.000000,267.000000,-1022.000000,-101.000000,144.000000,-878.000000,7.000000,153.000000,-1002.000000
0.098720,128.000000,269.000000,-1122.000000,-100.000000,146.000000,-878.000000,7.000000,156.000000,-1009.000000
0.198662,129.000000,266.000000,-1021.000000,-100.000000,142.000000,-882.000000,4.000000,150.000000,-1003.000000
0.299227,129.000000,266.000000,-1023.000000,-101.000000,147.000000,-879.000000,7.000000,151.000000,-1004.000000
0.399768,31.000000,267.000000,-1122.000000,-102.000000,145.000000,-880.000000,10.000000,152.000000,-1002.000000
0.499577,31.000000,270.000000,-1127.000000,-102.000000,143.000000,-877.000000,6.000000,156.000000,-1009.000000
0.599605,129.000000,272.000000,-1130.000000,-102.000000,152.000000,-994.000000,10.000000,152.000000,-1010.000000
0.699282,134.000000,391.000000,-1383.000000,-103.000000,154.000000,-1011.000000,9.000000,154.000000,-1016.000000
0.800030,139.000000,399.000000,-1641.000000,-106.000000,269.000000,-1380.000000,5.000000,148.000000,-1021.000000
0.899831,149.000000,514.000000,-1781.000000,-113.000000,390.000000,-1642.000000,6.000000,152.000000,-1129.000000
1.000127,260.000000,528.000000,-2149.000000,-110.000000,387.000000,-1533.000000,0.000000,264.000000,-1408.000000
1.099499,155.000000,529.000000,-2277.000000,-98.000000,525.000000,-2030.000000,-101.000000,281.000000,-1515.000000
1.200681,265.000000,771.000000,-2803.000000,-97.000000,526.000000,-2022.000000,-104.000000,389.000000,-1633.000000
1.300352,269.000000,543.000000,-2793.000000,6.000000,521.000000,-2020.000000,-116.000000,515.000000,-2041.000000
1.399934,274.000000,771.000000,-2944.000000,5.000000,651.000000,-2278.000000,-111.000000,512.000000,-1918.000000
1.500647,641.000000,908.000000,-3169.000000,-237.000000,671.000000,-2278.000000,-111.000000,281.000000,-2278.000000
1.600358,543.000000,921.000000,-3827.000000,-109.000000,542.000000,-2043.000000,-127.000000,513.000000,-2550.000000
1.701040,661.000000,1049.000000,-4196.000000,-117.000000,781.000000,-2428.000000,-128.000000,414.000000,-2429.000000
1.800600,913.000000,1161.000000,-4336.000000,-227.000000,900.000000,-2430.000000,-239.000000,405.000000,-2808.000000
1.900884,922.000000,1170.000000,-4860.000000,-112.000000,1027.000000,-2684.000000,-254.000000,526.000000,-2813.000000
2.000669,922.000000,1047.000000,-5096.000000,-109.000000,1050.000000,-2938.000000,-364.000000,535.000000,-3053.000000
2.100854,924.000000,1040.000000,-5096.000000,-106.000000,1045.000000,-2924.000000,-369.000000,540.000000,-3185.000000
2.200741,1053.000000,1036.000000,-4989.000000,-122.000000,1290.000000,-3196.000000,-377.000000,517.000000,-3200.000000
2.301296,1048.000000,1032.000000,-4992.000000,-114.000000,1181.000000,-3061.000000,-380.000000,525.000000,-3194.000000
2.401095,1047.000000,1035.000000,-5091.000000,-119.000000,1183.000000,-3070.000000,-376.000000,520.000000,-3182.000000
2.501105,1045.000000,1034.000000,-5092.000000,-112.000000,1285.000000,-3177.000000,-377.000000,528.000000,-3187.000000
2.602257,1052.000000,1041.000000,-4989.000000,-112.000000,1167.000000,-2926.000000,-375.000000,523.000000,-3060.000000
2.701615,783.000000,915.000000,-3948.000000,-121.000000,778.000000,-2289.000000,-236.000000,388.000000,-2407.000000
2.802051,264.000000,658.000000,-2157.000000,-105.000000,258.000000,-1132.000000,7.000000,157.000000,-1249.000000
2.902015,133.000000,283.000000,-1257.000000,-107.000000,149.000000,-1001.000000,10.000000,147.000000,-1002.000000
